country,location_name,latitude,longitude,last_updated,temperature_fahrenheit,wind_mph,humidity,cloud,uv_index
Afghanistan,Kabul,34.52,69.18,2024-05-16,79.8,8.3,24,30,7
Albania,Tirana,41.33,19.82,2024-05-16,66.2,6.9,94,75,5
Algeria,Algiers,36.76,3.05,2024-05-16,73.4,9.4,29,0,5
Andorra,Andorra La Vella,42.5,1.52,2024-05-16,43.3,7.4,61,100,2
Angola,Luanda,-8.84,13.23,2024-05-16,78.8,8.1,89,50,8
Antigua and Barbuda,Saint John's,17.12,-61.85,2024-05-16,78.8,5.6,84,25,1
Argentina,Buenos Aires,-34.59,-58.67,2024-05-16,46.4,2.2,93,0,1
Armenia,Yerevan,40.18,44.51,2024-05-16,66.2,4.3,40,25,4
Australia,Canberra,-35.28,149.22,2024-05-16,48.2,2.5,87,0,1
Austria,Vienna,48.2,16.37,2024-05-16,60.8,12.5,63,75,5
Azerbaijan,Baku,40.4,49.88,2024-05-16,62.6,4.3,68,50,5
Bahamas,Nassau,25.08,-77.35,2024-05-16,80.6,16.1,89,50,1
Bahrain,Manama,26.24,50.58,2024-05-16,96.8,13.6,33,0,8
Bangladesh,Dhaka,23.72,90.41,2024-05-16,101.2,4.3,31,30,9
Barbados,Bridgetown,13.1,-59.62,2024-05-16,82.4,16.1,74,50,1
Belarus,Minsk,53.9,27.57,2024-05-16,62.6,11.9,29,0,4
Belgium,Brussels,50.83,4.33,2024-05-16,59,3.8,94,50,3
Belize,Belmopan,17.25,-88.77,2024-05-16,78.9,4.3,89,94,1
Benin,Porto-Novo,6.48,2.62,2024-05-16,82.4,15,79,75,7
Bhutan,Thimphu,27.48,89.6,2024-05-16,64.8,7.2,50,77,4
Bolivia,Sucre,-19.04,-65.26,2024-05-16,54.1,2.2,77,10,1
Bosnia and Herzegovina,Sarajevo,43.85,18.38,2024-05-16,66.2,2.2,64,25,5
Botswana,Gaborone,-24.65,25.91,2024-05-16,71.6,4.3,43,0,7
Brazil,Bras,-2.08,-58.17,2024-05-16,73.6,2.5,98,100,1
Brunei Darussalam,Bandar Seri Begawan,4.88,114.93,2024-05-16,89.6,6.9,84,75,8
Bulgaria,Sofia,42.68,23.32,2024-05-16,53.6,12.5,77,100,3
Burkina Faso,Ouagadougou,12.37,-1.52,2024-05-16,89.6,6.9,67,50,8
Burundi,Bujumbura,-3.38,29.36,2024-05-16,69.9,2.2,66,86,6
Madagascar,Ivory,-24.37,46.45,2024-05-16,81.4,10.1,44,5,8
Cape Verde,Praia,14.93,-23.51,2024-05-16,71.6,9.4,69,75,6
Cambodia,Phnom Penh,11.55,104.92,2024-05-16,100.4,6.9,45,50,9
Cameroon,Yaounde,3.87,11.52,2024-05-16,76.9,2.2,78,25,6
Canada,Ottawa,45.42,-75.7,2024-05-16,53.6,9.4,71,50,1
Central African Republic,Bangui,4.37,18.58,2024-05-16,83.2,4.7,60,7,7
Chad,N'djamena,12.11,15.05,2024-05-16,98.9,8.9,27,2,9
Chile,Santiago,-33.45,-70.67,2024-05-16,33.8,4.3,93,0,1
China,Beijing,39.93,116.39,2024-05-16,84.2,9.4,22,0,8
Bulgaria,Bogot,43.32,24.7,2024-05-16,60.7,8.7,62,100,4
Comoros,Moroni,-11.7,43.24,2024-05-16,81.5,14.5,73,70,7
Congo,Brazzaville,-4.26,15.28,2024-05-16,85.2,2.7,66,14,8
Costa Rica,San Juan,9.97,-84.08,2024-05-16,69.8,2.2,100,75,1
Croatia,Zagreb,45.8,16,2024-05-16,60.8,9.4,82,75,3
Cuba,Havana,23.13,-82.36,2024-05-16,78.8,4.3,84,0,1
Cyprus,Nicosia,35.17,33.37,2024-05-16,77,5.6,39,25,7
Czech Republic,Prague,50.08,14.47,2024-05-16,64.4,19.2,49,0,4
Seychelles Islands,Victoria,-4.62,55.45,2024-05-17,82.4,3.8,84,0,1
Democratic Republic of Congo,Kinshasa,-4.3,15.3,2024-05-16,85,2.5,67,15,8
Denmark,Copenhagen,55.67,12.58,2024-05-16,60.8,19.2,55,0,4
Djibouti,Djibouti,11.6,43.15,2024-05-16,89.3,8.1,68,6,8
Dominica,Roseau,15.3,-61.4,2024-05-16,81,7.8,78,70,1
Dominican Republic,Santo Domingo,18.47,-69.9,2024-05-16,73.4,8.1,94,50,1
Ecuador,Quito,-0.22,-78.5,2024-05-16,53.3,2.7,92,76,1
Egypt,Cairo,30.05,31.25,2024-05-16,80.6,9.4,32,0,7
El Salvador,San Salvador,13.71,-89.2,2024-05-16,78.8,2.2,94,50,1
Equatorial Guinea,Malabo,3.75,8.78,2024-05-16,86,3.8,89,50,6
Eritrea,Asmara,15.33,38.93,2024-05-16,72.7,2.9,42,80,5
Estonia,Tallinn,59.43,24.73,2024-05-16,66.2,13.6,43,0,4
Swaziland,Mbabane,-26.32,31.13,2024-05-16,72,3.8,39,2,7
Ethiopia,Addis Ababa,9.03,38.7,2024-05-16,72.1,6.7,48,72,5
Fiji Islands,Suva,-18.13,178.42,2024-05-16,78.8,9.4,89,75,1
Finland,Helsinki,60.18,24.93,2024-05-16,71.6,15,33,0,5
France,Paris,48.87,2.33,2024-05-16,59,10.5,72,50,4
Gabon,Libreville,0.38,9.45,2024-05-16,84.2,9.4,75,25,7
Gambia,Banjul,13.45,-16.58,2024-05-16,73.4,10.5,83,0,6
Georgia,Tbilisi,41.73,44.79,2024-05-16,60.8,5.6,68,100,3
Germany,Berlin,52.52,13.4,2024-05-16,71.6,20.6,38,0,6
Ghana,Accra,5.55,-0.22,2024-05-16,84.2,5.6,84,25,7
Greece,Athens,37.98,23.72,2024-05-16,73.4,2.2,38,25,6
Grenada,Saint George's,12.05,-61.75,2024-05-16,82.4,13.6,79,25,1
Guatemala,Guatemala City,14.62,-90.53,2024-05-16,68,13.6,88,100,1
Guinea,Conakry,9.51,-13.71,2024-05-16,78.8,2.2,94,100,6
Guinea-Bissau,Bissau,11.85,-15.58,2024-05-16,75.2,3.8,89,75,7
Guyana,Georgetown,6.8,-58.17,2024-05-16,75.2,2.2,100,50,1
Haiti,Port-Au-Prince,18.54,-72.34,2024-05-16,69.8,2.5,88,18,1
Vatican City,Vatican City,41.9,12.45,2024-05-16,75.2,2.2,57,0,7
Honduras,Tegucigalpa,14.1,-87.22,2024-05-16,73.4,3.8,78,37,1
Hungary,Budapest,47.5,19.08,2024-05-16,68,18.6,43,75,4
Iceland,Grindavik,63.83,-22.43,2024-05-16,44.6,9.4,93,75,2
India,New Delhi,28.6,77.2,2024-05-16,107.6,6.9,13,0,10
Indonesia,Jakarta,-6.21,106.85,2024-05-16,89.6,15,63,50,8
Iran,Tehran,35.73,51.33,2024-05-16,75.2,11.9,25,25,6
Iraq,Baghdad,33.34,44.39,2024-05-16,91.4,13.6,17,50,8
Ireland,Dublin,53.33,-6.25,2024-05-16,57.2,4.3,94,75,5
Israel,Jerusalem,31.78,35.23,2024-05-16,77,8.1,54,25,6
Italy,Rome,41.9,12.48,2024-05-16,75.2,2.2,57,0,7
Jamaica,Norman Gardens,17.97,-76.75,2024-05-16,71.4,2.2,84,84,1
Japan,Tokyo,35.69,139.69,2024-05-16,75.2,20.6,47,25,6
Jordan,Amman,31.95,35.93,2024-05-16,73.4,9.4,29,0,6
Kazakhstan,Astana,51.18,71.43,2024-05-16,60.8,13.6,34,0,5
Kenya,Nairobi,-1.28,36.82,2024-05-16,73.4,2.2,61,75,6
Kiribati,Tarawa,-0.88,169.53,2024-05-16,83.9,12.3,75,66,1
Kuwait,Kuwait City,29.37,47.96,2024-05-16,86.7,17.4,44,50,8
Kyrghyzstan,Bishkek,42.87,74.6,2024-05-16,72.4,8.1,59,79,5
Indonesia,Laos,-8.18,114.32,2024-05-16,82.4,5.6,74,80,7
Latvia,Riga,56.95,24.1,2024-05-16,62.6,5.6,48,0,5
Lebanon,Beirut,33.87,35.51,2024-05-16,71.6,5.6,65,25,6
Lesotho,Maseru,-29.32,27.48,2024-05-16,64.4,2.2,52,0,7
Liberia,Monrovia,6.31,-10.8,2024-05-16,78.8,2.2,94,75,7
Thailand,Nan,18.78,100.78,2024-05-16,91.4,6.9,63,75,9
Liechtenstein,Vaduz,47.13,9.52,2024-05-16,59,5.6,72,25,4
Lithuania,Vilnius,54.68,25.32,2024-05-16,62.6,8.1,39,0,5
Luxembourg,Luxembourg,49.61,6.13,2024-05-16,57.2,10.5,88,75,3
Madagascar,Antananarivo,-18.92,47.52,2024-05-16,71.6,16.1,53,50,6
Malawi,Lilongwe,-13.98,33.78,2024-05-16,69.8,8.1,64,75,7
Malaysia,Kuala Lumpur,3.17,101.7,2024-05-16,84.2,6.9,84,25,6
Maldives,Felidhoo,3.48,73.53,2024-05-16,85.1,13.4,76,89,6
Mali,Bamako,12.65,-8,2024-05-16,80.6,4.3,74,0,7
Malta,Valletta,35.9,14.51,2024-05-16,82.4,9.4,45,0,6
Marshall Islands,Majuro,7.1,171.38,2024-05-16,84.2,6.9,79,75,1
Mauritania,Nouakchott,18.09,-15.98,2024-05-16,67,11,79,0,5
Mauritius,Port Louis,-20.16,57.5,2024-05-16,75.2,16.1,83,75,6
Mexico,Mexico City,19.43,-99.13,2024-05-16,69.4,6.7,47,5,1
Micronesia,Palikir,6.92,158.15,2024-05-16,80.6,2.2,89,100,1
Iran,Chi Chi Khvar,36.26,46.59,2024-05-16,60.6,14.5,34,44,4
Monaco,Monaco,43.73,7.42,2024-05-16,60.8,12.5,82,50,4
Mongolia,Ulaanbaatar,47.92,106.92,2024-05-16,80.6,13.6,17,0,5
Montenegro,Podgorica,42.44,19.26,2024-05-16,60.8,2.2,88,75,5
Morocco,Rabat,34.03,-6.84,2024-05-16,64.4,5.6,60,75,5
Mozambique,Maputo,-25.97,32.59,2024-05-16,75.2,5.6,65,25,7
Myanmar,Pathein,16.78,94.73,2024-05-16,99.5,15,36,13,9
Namibia,Windhoek,-22.57,17.08,2024-05-16,68,6.9,40,0,7
Turkey,Yaren,39.55,27.62,2024-05-16,64.4,2.2,56,0,5
Nepal,Kathmandu,27.72,85.32,2024-05-16,84.2,11.9,48,50,8
Netherlands,Amsterdam,52.37,4.89,2024-05-16,60.8,4.3,94,75,4
New Zealand,Wellington,-41.3,174.78,2024-05-16,55.4,23,77,75,1
Nicaragua,Managua,12.15,-86.27,2024-05-16,80.9,3.6,80,75,1
Niger,Niamey,13.52,2.12,2024-05-16,91.4,12.5,36,0,8
Nigeria,Abuja,9.18,7.18,2024-05-16,84.5,4.5,67,32,7
North Korea,Pyongyang,39.02,125.75,2024-05-16,66.3,11.4,27,4,5
Macedonia,Skopje,42,21.43,2024-05-16,55.4,2.2,88,100,3
Norway,Oslo,59.92,10.75,2024-05-16,64.4,8.1,49,0,5
Oman,Muscat,23.61,58.59,2024-05-16,91.4,11.9,56,0,8
Pakistan,Islamabad,33.7,73.17,2024-05-16,100.8,7.4,15,2,9
Palau,Meyungs,7.35,134.45,2024-05-16,87.8,6.9,75,75,1
Bolivia,National,-11.18,-67.08,2024-05-16,63.4,2.2,83,13,1
Panama,Panama City,8.97,-79.53,2024-05-16,78.8,2.2,94,100,1
Papua New Guinea,Port Moresby,-9.46,147.19,2024-05-16,79.1,9.8,90,89,1
Paraguay,Pasto,-19.45,-61.15,2024-05-16,57.4,6.9,79,10,1
Peru,Lima,-12.05,-77.05,2024-05-16,61.9,7.4,89,59,1
Philippines,Manila,14.6,120.98,2024-05-16,95,2.2,56,50,8
Poland,Warsaw,52.25,21,2024-05-16,64.4,19.2,34,0,5
Portugal,Lisbon,38.72,-9.13,2024-05-16,60.8,6.9,77,75,4
Qatar,Doha,25.29,51.53,2024-05-16,98.6,11.9,37,0,9
Romania,Bucharest,44.43,26.1,2024-05-16,64.4,11.9,26,0,5
Russia,Moscow,55.75,37.62,2024-05-16,64.4,11.9,42,0,4
Rwanda,Kigali,-1.95,30.06,2024-05-16,77,5.6,61,50,6
Saint Kitts and Nevis,Basseterre,17.3,-62.72,2024-05-16,80.6,8.1,79,0,1
Saint Lucia,Castries,14,-61,2024-05-16,82.4,12.5,84,75,1
Saint Vincent and the Grenadines,Kingstown,13.13,-61.22,2024-05-16,82.4,12.5,84,75,1
Samoa,Apia,-13.83,-171.73,2024-05-16,78.8,3.8,94,50,1
San Marino,San Marino,43.93,12.45,2024-05-16,64.4,2.2,88,100,4
Belgium,'S Gravenstaffel,50.88,2.98,2024-05-16,57.2,8.1,94,75,3
Saudi Arabia,Riyadh,24.64,46.77,2024-05-16,102.2,9.4,7,0,9
Senegal,Dakar,14.67,-17.44,2024-05-16,71.6,6.9,78,75,6
Serbia,Belgrade,44.8,20.47,2024-05-16,66.2,25.5,56,0,5
Seychelles Islands,Victoria,-4.62,55.45,2024-05-16,80.6,12.5,89,75,7
Sierra Leone,Freetown,8.49,-13.23,2024-05-16,81.3,2.2,79,36,7
Singapore,Singapore,1.29,103.86,2024-05-16,78.8,2.5,89,75,6
Slovakia,Bratislava,48.15,17.12,2024-05-16,62.6,16.1,55,25,4
Slovenia,Ljubljana,46.06,14.51,2024-05-16,60.8,10.5,82,75,3
Solomon Islands,Honiara,-9.43,159.95,2024-05-16,80.5,9.8,87,78,1
Somalia,Mogadishu,2.07,45.37,2024-05-16,86,13.6,89,25,7
South Africa,Pretoria,-25.75,28.19,2024-05-16,68,3.8,35,0,7
